text,emotion
ฉันไม่ได้รู้สึกอะไรเป็นพิเศษ,neutral
อากาศดี ทำให้รู้สึกสดชื่น,happy
รู้สึกโดดเดี่ยว,sadness
ฉันรู้สึกเหงามาก,sadness
ชีวิตก็เป็นแบบนี้แหละ,neutral
ได้ใช้เวลากับครอบครัว รู้สึกอบอุ่น,happy
ฉันไม่กล้าทำมัน,fear
ดีใจที่ได้พบเธอ,happy
รู้สึกโดดเดี่ยว,sadness
ว้าว! ฉันไม่เคยเห็นอะไรแบบนี้มาก่อน,surprise
วันนี้ฉันได้พักผ่อนเต็มที่,happy
วันนี้ไม่มีอะไรดีเลย,sadness
ฉันกลัวว่าอะไรจะเกิดขึ้นต่อไป,fear
ฉันอยากหนีไปให้ไกล,fear
ฉันโกรธมาก!,anger
ไม่มีแรงจะทำอะไรเลย,sadness
เลิกกวนใจฉันสักที,anger
ฉันอยากร้องไห้,sadness
โมโหมาก!,anger
ฉันมีเพื่อนที่ดี,happy
ได้รับข่าวดีสุด ๆ,happy
ฉันอารมณ์เสียสุด ๆ,anger
หยุดทำแบบนี้เดี๋ยวนี้!,anger
ทุกอย่างเป็นไปตามปกติ,neutral
อะไรกันเนี่ย?!,surprise
มันน่ากลัวเกินไป,fear
เซอร์ไพรส์สุด ๆ,surprise
ก็แค่เรื่องปกติทั่วไป,neutral
รู้สึกไม่พอใจอย่างมาก,anger
ฉันคิดถึงใครบางคน,sadness
รู้สึกโชคดีมาก,happy
ฉันไม่พอใจเลย,anger
ฉันรู้สึกเหงามาก,sadness
ใจเต้นแรงจนควบคุมไม่อยู่,fear
ฉันกังวลมาก,fear
ฉันสูญเสียสิ่งสำคัญในชีวิต,sadness
ฉันไม่อยากพูดกับเธอ,anger
ไม่มีอะไรพิเศษเกิดขึ้น,neutral
วันนี้ก็เหมือนทุกวัน,neutral
นี่มันเกิดขึ้นจริงเหรอ?,surprise
อะไรนะ?!,surprise
ฉันต้องการกำลังใจ,sadness
ใจเต้นแรงจนควบคุมไม่อยู่,fear
ชีวิตก็เป็นแบบนี้แหละ,neutral
ไม่มีใครเข้าใจฉันเลย,sadness
รู้สึกโชคดีมาก,happy
ได้กินของอร่อย รู้สึกดีมาก,happy
ใจเต้นแรงจนควบคุมไม่อยู่,fear
ฉันได้รับของขวัญที่ต้องการ,happy
นี่มันบ้ามาก!,surprise
ฉันคิดว่าทุกอย่างจบแล้ว,sadness
ฉันไม่อยากเผชิญหน้ากับสิ่งนี้,fear
ฉันพลาดโอกาสสำคัญ,sadness
รู้สึกโดดเดี่ยว,sadness
ชีวิตก็เป็นแบบนี้แหละ,neutral
ไม่น่าเชื่อว่ามันจะเป็นไปได้,surprise
ไม่มีอะไรให้พูดถึง,neutral
ฉันอยากหนีไปให้ไกล,fear
ฉันกังวลมาก,fear
ทำไมชีวิตมันยากขนาดนี้,sadness
ฉันตื่นเต้นสุด ๆ,surprise
ฉันมีความสุขสุด ๆ,happy
ฉันรักชีวิตนี้,happy
ก็แค่วันธรรมดา,neutral
ฉันไม่มีความคิดเห็น,neutral
โอ้โห! นี่มันสุดยอด,surprise
อะไรบางอย่างทำให้ฉันรู้สึกอึดอัด,fear
เฮ้ย! จริงดิ?!,surprise
ไม่น่าเชื่อว่ามันจะเป็นไปได้,surprise
ว้าว! นี่มันน่าทึ่งมาก,surprise
ฉันไม่ได้รู้สึกอะไรเป็นพิเศษ,neutral
ชีวิตก็เป็นแบบนี้แหละ,neutral
พวกเขาทำให้ฉันหงุดหงิด,anger
หัวเราะจนท้องแข็ง,happy
ฉันไม่รู้จะทำยังไงต่อ,fear
ฉันรู้สึกกลัวมาก,fear
ไม่มีอะไรพิเศษเกิดขึ้น,neutral
นี่มันเกิดขึ้นจริงเหรอ?,surprise
อะไรกันเนี่ย?!,surprise
ฉันไม่ได้คิดอะไรมาก,neutral
ฉันไม่ได้รู้สึกอะไร,neutral
ฉันไม่ได้คาดหวังแบบนี้เลย,surprise
ฉันสูญเสียสิ่งสำคัญในชีวิต,sadness
วันนี้ไม่มีอะไรดีเลย,sadness
ว้าว! นี่มันน่าทึ่งมาก,surprise
นี่มันบ้ามาก!,surprise
ฉันรู้สึกกลัวมาก,fear
ได้รับข่าวดีสุด ๆ,happy
ฉันทนไม่ไหวแล้ว!,anger
รู้สึกโชคดีมาก,happy
โอ้โห! นี่มันสุดยอด,surprise
ประสบความสำเร็จตามที่หวังไว้,happy
วันนี้ฉันได้พักผ่อนเต็มที่,happy
ทำไมชีวิตมันยากขนาดนี้,sadness
ก็โอเคนะ,neutral
นี่มันเกิดขึ้นจริงเหรอ?,surprise
ฉันไม่อยากทนอีกแล้ว,anger
นี่มันเกินความคาดหมาย,surprise
วันนี้ไม่มีอะไรดีเลย,sadness
ฉันไม่ได้มีอารมณ์อะไร,neutral
ฉันไม่ได้คิดอะไรมาก,neutral
ฉันกังวลมาก,fear
ฉันหวั่นใจมาก,fear
ฉันตัวสั่นไปหมด,fear
รู้สึกโดดเดี่ยว,sadness
ได้กินของอร่อย รู้สึกดีมาก,happy
ได้ใช้เวลากับครอบครัว รู้สึกอบอุ่น,happy
อะไรนะ?!,surprise
อะไรนะ?!,surprise
ดีใจที่ได้พบเธอ,happy
ก็ไม่มีอะไรเป็นพิเศษ,neutral
ฉันคิดถึงใครบางคน,sadness
ได้กินของอร่อย รู้สึกดีมาก,happy
ฉันชอบเสียงเพลงนี้มาก,happy
ฉันพลาดโอกาสสำคัญ,sadness
ก็โอเคนะ,neutral
วันนี้ไม่มีอะไรดีเลย,sadness
ชีวิตมันช่างน่าเศร้า,sadness
ฉันตื่นเต้นสุด ๆ,surprise
ฉันคิดว่าทุกอย่างจบแล้ว,sadness
ทำไมมันต้องเกิดขึ้นกับฉัน,fear
ทุกอย่างยอดเยี่ยมไปหมด,happy
ฉันไม่มีความคิดเห็น,neutral
ฉันไม่ให้อภัยเรื่องนี้,anger
ฉันไม่อยากเผชิญหน้ากับสิ่งนี้,fear
ก็ไม่มีอะไรเป็นพิเศษ,neutral
ฉันไม่ได้รู้สึกอะไรเป็นพิเศษ,neutral
ฉันมีเพื่อนที่ดี,happy
ฉันไม่ได้รู้สึกดีหรือแย่,neutral
รู้สึกโชคดีมาก,happy
ฉันอยากร้องไห้,sadness
เฮ้ย! จริงดิ?!,surprise
ไม่มีแรงจะทำอะไรเลย,sadness
ฉันพลาดโอกาสสำคัญ,sadness
ฉันกลัวว่าอะไรจะเกิดขึ้นต่อไป,fear
รู้สึกภูมิใจในตัวเอง,happy
อะไรกันเนี่ย?!,surprise
วันนี้ฉันได้พักผ่อนเต็มที่,happy
ดีใจที่ได้พบเธอ,happy
วันนี้เป็นวันที่แย่มาก,sadness
ฉันกลัวจนพูดไม่ออก,fear
ทำไมมันต้องเกิดขึ้นกับฉัน,fear
ฉันไม่กล้าทำมัน,fear
ฉันรู้สึกสิ้นหวัง,sadness
ฉันมีเพื่อนที่ดี,happy
ทำไมเธอถึงทำแบบนี้กับฉัน,anger
ฉันไม่ให้อภัยเรื่องนี้,anger
ชีวิตก็เป็นแบบนี้แหละ,neutral
ก็โอเคนะ,neutral
ฉันอยากร้องไห้,sadness
ฉันไม่อยากพูดกับเธอ,anger
ได้ใช้เวลากับครอบครัว รู้สึกอบอุ่น,happy
ชีวิตก็เป็นแบบนี้แหละ,neutral
ได้กินของอร่อย รู้สึกดีมาก,happy
ฉันมีความสุขสุด ๆ,happy
ฉันตื่นเต้นสุด ๆ,surprise
นี่มันเรื่องจริงเหรอ?,surprise
ทุกอย่างมันแย่ไปหมด,sadness
โอ้โห! นี่มันสุดยอด,surprise
ฉันคิดถึงใครบางคน,sadness
โอ้โห! นี่มันสุดยอด,surprise
ไม่มีอะไรต้องตื่นเต้น,neutral
ฉันตัวสั่นไปหมด,fear
อะไรนะ?!,surprise
ว้าว! ฉันไม่เคยเห็นอะไรแบบนี้มาก่อน,surprise
ฉันรักสัตว์เลี้ยงของฉัน,happy
วันนี้ทำงานได้ดีมาก,happy
ไม่มีอะไรให้พูดถึง,neutral
นี่มันเรื่องจริงเหรอ?,surprise
เลิกกวนใจฉันสักที,anger
ไม่มีใครเข้าใจฉันเลย,sadness
ฉันพลาดโอกาสสำคัญ,sadness
ฉันรู้สึกไม่ปลอดภัย,fear
ฉันไม่ได้คิดอะไรมาก,neutral
ฉันรู้สึกหวาดระแวง,fear
วันนี้เป็นวันที่ดีมาก,happy
นี่มันฝันร้ายชัด ๆ,fear
อะไรกันเนี่ย?!,surprise
วันนี้ฉันได้พักผ่อนเต็มที่,happy
รู้สึกเหมือนถูกทอดทิ้ง,sadness
นี่มันไม่ยุติธรรมเลย,anger
ฉันไม่พอใจเลย,anger
ฉันสูญเสียสิ่งสำคัญในชีวิต,sadness
ทำไมต้องเป็นแบบนี้,anger
ทำไมต้องเป็นฉัน,fear
ฉันไม่ได้คิดอะไรมาก,neutral
นี่มันเรื่องจริงเหรอ?,surprise
วันนี้ฉันได้พักผ่อนเต็มที่,happy
โมโหมาก!,anger
ฉันพลาดโอกาสสำคัญ,sadness
ทุกอย่างยอดเยี่ยมไปหมด,happy
ชีวิตก็เป็นแบบนี้แหละ,neutral
ฉันพลาดโอกาสสำคัญ,sadness
ฉันอารมณ์เสียสุด ๆ,anger
ไม่มีใครเข้าใจฉันเลย,sadness
ฉันพลาดโอกาสสำคัญ,sadness
ฉันตื่นเต้นสุด ๆ,surprise
หยุดทำแบบนี้เดี๋ยวนี้!,anger
วันนี้ทำงานได้ดีมาก,happy
หยุดทำแบบนี้เดี๋ยวนี้!,anger
"ส่งเร็วมากกก เหมือนร้านอยู่ข้างบ้าน ร้านน่ารักคอยอัพเดตตลอด ราคาถูก เลิฟฟฟฟฟ",happy
ก็ไม่อยากเข้าอ่ะ ไม่รู้จะเข้าไปทำไม,frustrated
พี่เจมี่เจมส์ขอชั้นแต่งงาน!!,happy
แล้วคุณจะไปทำงานกับมืออาชีพได้ยังไง ฮ้ะ,anger
พรุ่งนี้เป็นวันหยุดราชการนะ รู้รึยัง หยุดยาวด้วย,neutral
เล่นเกมยังไงให้ได้มีม,happy
ได้รับสินค้าแล้ว คุณภาพสินค้าดี ราคาถูก ได้โค้ดส่งฟรี มีการจัดส่งสินค้าที่รวดเร็วมากก ถ้าหากจะสั่งสินค้าแบบนี้อีกครั้ง จะกลับมาสั่งที่ร้านนี้อีกแน่นอน,happy
"บริการช้า รู้สึกผิดหวังมาก",sadness
รู้สึกเฉย ๆ ไม่รู้จะซื้อดีไหม,neutral
พนักงานบริการดีมาก กลับมาซื้ออีกแน่นอน!,happy
รู้สึกหงุดหงิดที่การสั่งซื้อยังไม่มาถึง,anger
พอใจกับสินค้ามาก ๆ มันคือสิ่งที่ฉันต้องการ!,happy
การซื้อของวันนี้ไม่ดีเลย จะไม่มาซื้ออีก,anger
การส่งของช้าเกินไป ไม่อยากสั่งซื้อต่อ,anger
ต้องคืนสินค้านี้ มันยุ่งยากมาก!,frustrated
ส่วนลดดีมาก รู้สึกดีใจสุด ๆ!,happy
ไม่อยากเชื่อว่าสินค้าที่นี่ดีขนาดนี้!,surprised
จะไม่ทน กับคนนิสัยไม่ดี,anger
ฉันไม่ได้รู้สึกอับอาย,sadness
ฉันนั้นสามารถเปลี่ยนความรู้สึกจากสิ้นหวังไปมีหวังโดยแค่อยู่รอบๆคนที่ใส่ใจและเข้าใจ,sadness
พรุ่งนี้วันหยุดราชการน่ะรู้ยังหยุดยาวด้วย,neutral
เดียวยังไงผมรบกวนให้ลูกค้าไปติดต่อที่เค้าเตอร์เพื่อที่จะสอบถามเรื่องกล้องวงจอนปิดน่ะครับ,frustrated
ประมาณหนึ่งวันครับ,neutral
ครับ,neutral
ไร้สมอง,anger
คุณฝึกงานมาสองเดือนแล้วอีกเดือนหนึงก็จะผ่านโปรแล้ว ไม่มีอะไรพัฒนาตัวคุณเลยเหรอ ห่ะ,anger
ผมสอนคุณอยู่น่ะ,frustrated
คุณไม่พอใจคุณก็ออกไปดิ อยู่ที่นี้ทำไม,anger
ฉันรู้สึกงุดงิด,anger
ฉันรู้สึกดีใจ,happy
ฉันรู้สึกกังวล,sadness
มีอะไรจะพูดไหม?,anger
หืมโตยังเนี่ยเนียอายุเท่าไหรแล้วยังทำโทรศัพห์หายอยู่,frustrated
ไม่โกรธหรอกไม่โกรธหรอกมันเหนือย,frustrated
แล้วไงจะเอายังไง,frustrated
ไม่ต้องขอโทศแล้วจริงๆ,frustrated
กระเป๋าฉันหาย,anger
ฉันไม่รอ ไปเอาเทปมาเลย แล้วฉันจะไม่จ่ายค่าห้องอะไรทั้งนั้นด้วย,anger
นี้มันโรงแรมห้าดาว ทำไม่บริการห่วยแตกแบบนี้,anger
ไม่รู้แหละ ฉันต้องการเงินคืน,frustrated
วันวาเลนไทน์แล้วทำไหม,neutral
หุ้ยเซ็กซี่มาก,happy
เริ่ดมาก,happy
สวัสดีค่ะวันนี้เป็นไงบ้างค่ะ,neutral
ทำงานอยู่ใช้ไหม,neutral
หมอว่าคุณนั้นกดดั้นตัวเองมากไปทุกอย่างมันต้องใช้เวลา,neutral
อืมเข้าใจค่ะ,neutral
ครับสวัสดีครับคุณลูกค้ามีอะไรให้ช่วยครับ,neutral
ขอโทษน่ะครับคุณลูกค้าบางที่อาจะเป็นเพราะว่าพนักงานทำความสะอาดอาจะเป็นมือใหม่,neutral
ทางโรงแรมขอโทษคุณลูกค้าน่ะครับเดียวทางโรงแรมจะเปลี่ยนห้องให้ใหม่เลยน่ะครับ,neutral
มึงพร้อมรึป่าว,neutral
ทำไมกูล่ะกูเป็นคนเดียวที่ไม่ได้ทำร้ายอะไรมึงเลย,Surprise
นั้นทำอะไรได้,Surprise
พระเจ้าช่วยฉันด้วย,neutral
เดียวรู้กันน่ะสุดหล่อ,neutral
มึงน่ะมันไร้ค่า,anger
ชีวิตของมึงนั้นมีค่าเท่ากับมดตัวหนึ่ง,anger
ฉันถูกหมากัด,neutral
ฉันนั้นจะพยายามไม่คุยกับใครเมื่องุดงิด,neutral
