text,emotion
ฉันไม่ได้รู้สึกอะไรเป็นพิเศษ,neutral
อากาศดี ทำให้รู้สึกสดชื่น,happy
รู้สึกโดดเดี่ยว,Sadness
ฉันรู้สึกเหงามาก,Sadness
ชีวิตก็เป็นแบบนี้แหละ,neutral
ได้ใช้เวลากับครอบครัว รู้สึกอบอุ่น,happy
ฉันไม่กล้าทำมัน,fear
ดีใจที่ได้พบเธอ,happy
รู้สึกโดดเดี่ยว,Sadness
ว้าว! ฉันไม่เคยเห็นอะไรแบบนี้มาก่อน,surprise
วันนี้ฉันได้พักผ่อนเต็มที่,happy
วันนี้ไม่มีอะไรดีเลย,Sadness
ฉันกลัวว่าอะไรจะเกิดขึ้นต่อไป,fear
ฉันอยากหนีไปให้ไกล,fear
ฉันโกรธมาก!,angry
ไม่มีแรงจะทำอะไรเลย,Sadness
เลิกกวนใจฉันสักที,angry
ฉันอยากร้องไห้,Sadness
โมโหมาก!,angry
ฉันมีเพื่อนที่ดี,happy
ได้รับข่าวดีสุด ๆ,happy
ฉันอารมณ์เสียสุด ๆ,angry
หยุดทำแบบนี้เดี๋ยวนี้!,angry
ทุกอย่างเป็นไปตามปกติ,neutral
อะไรกันเนี่ย?!,surprise
มันน่ากลัวเกินไป,fear
เซอร์ไพรส์สุด ๆ,surprise
ก็แค่เรื่องปกติทั่วไป,neutral
รู้สึกไม่พอใจอย่างมาก,angry
ฉันคิดถึงใครบางคน,Sadness
รู้สึกโชคดีมาก,happy
ฉันไม่พอใจเลย,angry
ฉันรู้สึกเหงามาก,Sadness
ใจเต้นแรงจนควบคุมไม่อยู่,fear
ฉันกังวลมาก,fear
ฉันสูญเสียสิ่งสำคัญในชีวิต,Sadness
ฉันไม่อยากพูดกับเธอ,angry
ไม่มีอะไรพิเศษเกิดขึ้น,neutral
วันนี้ก็เหมือนทุกวัน,neutral
นี่มันเกิดขึ้นจริงเหรอ?,surprise
อะไรนะ?!,surprise
ฉันต้องการกำลังใจ,Sadness
ใจเต้นแรงจนควบคุมไม่อยู่,fear
ชีวิตก็เป็นแบบนี้แหละ,neutral
ไม่มีใครเข้าใจฉันเลย,Sadness
รู้สึกโชคดีมาก,happy
ได้กินของอร่อย รู้สึกดีมาก,happy
ใจเต้นแรงจนควบคุมไม่อยู่,fear
ฉันได้รับของขวัญที่ต้องการ,happy
นี่มันบ้ามาก!,surprise
ฉันคิดว่าทุกอย่างจบแล้ว,Sadness
ฉันไม่อยากเผชิญหน้ากับสิ่งนี้,fear
ฉันพลาดโอกาสสำคัญ,Sadness
รู้สึกโดดเดี่ยว,Sadness
ชีวิตก็เป็นแบบนี้แหละ,neutral
ไม่น่าเชื่อว่ามันจะเป็นไปได้,surprise
ไม่มีอะไรให้พูดถึง,neutral
ฉันอยากหนีไปให้ไกล,fear
ฉันกังวลมาก,fear
ทำไมชีวิตมันยากขนาดนี้,Sadness
ฉันตื่นเต้นสุด ๆ,surprise
ฉันมีความสุขสุด ๆ,happy
ฉันรักชีวิตนี้,happy
ก็แค่วันธรรมดา,neutral
ฉันไม่มีความคิดเห็น,neutral
โอ้โห! นี่มันสุดยอด,surprise
อะไรบางอย่างทำให้ฉันรู้สึกอึดอัด,fear
เฮ้ย! จริงดิ?!,surprise
ไม่น่าเชื่อว่ามันจะเป็นไปได้,surprise
ว้าว! นี่มันน่าทึ่งมาก,surprise
ฉันไม่ได้รู้สึกอะไรเป็นพิเศษ,neutral
ชีวิตก็เป็นแบบนี้แหละ,neutral
พวกเขาทำให้ฉันหงุดหงิด,angry
หัวเราะจนท้องแข็ง,happy
ฉันไม่รู้จะทำยังไงต่อ,fear
ฉันรู้สึกกลัวมาก,fear
ไม่มีอะไรพิเศษเกิดขึ้น,neutral
นี่มันเกิดขึ้นจริงเหรอ?,surprise
อะไรกันเนี่ย?!,surprise
ฉันไม่ได้คิดอะไรมาก,neutral
ฉันไม่ได้รู้สึกอะไร,neutral
ฉันไม่ได้คาดหวังแบบนี้เลย,surprise
ฉันสูญเสียสิ่งสำคัญในชีวิต,Sadness
วันนี้ไม่มีอะไรดีเลย,Sadness
ว้าว! นี่มันน่าทึ่งมาก,surprise
นี่มันบ้ามาก!,surprise
ฉันรู้สึกกลัวมาก,fear
ได้รับข่าวดีสุด ๆ,happy
ฉันทนไม่ไหวแล้ว!,angry
รู้สึกโชคดีมาก,happy
โอ้โห! นี่มันสุดยอด,surprise
ประสบความสำเร็จตามที่หวังไว้,happy
วันนี้ฉันได้พักผ่อนเต็มที่,happy
ทำไมชีวิตมันยากขนาดนี้,Sadness
ก็โอเคนะ,neutral
นี่มันเกิดขึ้นจริงเหรอ?,surprise
ฉันไม่อยากทนอีกแล้ว,angry
นี่มันเกินความคาดหมาย,surprise
วันนี้ไม่มีอะไรดีเลย,Sadness
ฉันไม่ได้มีอารมณ์อะไร,neutral
ฉันไม่ได้คิดอะไรมาก,neutral
ฉันกังวลมาก,fear
ฉันหวั่นใจมาก,fear
ฉันตัวสั่นไปหมด,fear
รู้สึกโดดเดี่ยว,Sadness
ได้กินของอร่อย รู้สึกดีมาก,happy
ได้ใช้เวลากับครอบครัว รู้สึกอบอุ่น,happy
อะไรนะ?!,surprise
อะไรนะ?!,surprise
ดีใจที่ได้พบเธอ,happy
ก็ไม่มีอะไรเป็นพิเศษ,neutral
ฉันคิดถึงใครบางคน,Sadness
ได้กินของอร่อย รู้สึกดีมาก,happy
ฉันชอบเสียงเพลงนี้มาก,happy
ฉันพลาดโอกาสสำคัญ,Sadness
ก็โอเคนะ,neutral
วันนี้ไม่มีอะไรดีเลย,Sadness
ชีวิตมันช่างน่าเศร้า,Sadness
ฉันตื่นเต้นสุด ๆ,surprise
ฉันคิดว่าทุกอย่างจบแล้ว,Sadness
ทำไมมันต้องเกิดขึ้นกับฉัน,fear
ทุกอย่างยอดเยี่ยมไปหมด,happy
ฉันไม่มีความคิดเห็น,neutral
ฉันไม่ให้อภัยเรื่องนี้,angry
ฉันไม่อยากเผชิญหน้ากับสิ่งนี้,fear
ก็ไม่มีอะไรเป็นพิเศษ,neutral
ฉันไม่ได้รู้สึกอะไรเป็นพิเศษ,neutral
ฉันมีเพื่อนที่ดี,happy
ฉันไม่ได้รู้สึกดีหรือแย่,neutral
รู้สึกโชคดีมาก,happy
ฉันอยากร้องไห้,Sadness
เฮ้ย! จริงดิ?!,surprise
ไม่มีแรงจะทำอะไรเลย,Sadness
ฉันพลาดโอกาสสำคัญ,Sadness
ฉันกลัวว่าอะไรจะเกิดขึ้นต่อไป,fear
รู้สึกภูมิใจในตัวเอง,happy
อะไรกันเนี่ย?!,surprise
วันนี้ฉันได้พักผ่อนเต็มที่,happy
ดีใจที่ได้พบเธอ,happy
วันนี้เป็นวันที่แย่มาก,Sadness
ฉันกลัวจนพูดไม่ออก,fear
ทำไมมันต้องเกิดขึ้นกับฉัน,fear
ฉันไม่กล้าทำมัน,fear
ฉันรู้สึกสิ้นหวัง,Sadness
ฉันมีเพื่อนที่ดี,happy
ทำไมเธอถึงทำแบบนี้กับฉัน,angry
ฉันไม่ให้อภัยเรื่องนี้,angry
ชีวิตก็เป็นแบบนี้แหละ,neutral
ก็โอเคนะ,neutral
ฉันอยากร้องไห้,Sadness
ฉันไม่อยากพูดกับเธอ,angry
ได้ใช้เวลากับครอบครัว รู้สึกอบอุ่น,happy
ชีวิตก็เป็นแบบนี้แหละ,neutral
ได้กินของอร่อย รู้สึกดีมาก,happy
ฉันมีความสุขสุด ๆ,happy
ฉันตื่นเต้นสุด ๆ,surprise
นี่มันเรื่องจริงเหรอ?,surprise
ทุกอย่างมันแย่ไปหมด,Sadness
โอ้โห! นี่มันสุดยอด,surprise
ฉันคิดถึงใครบางคน,Sadness
โอ้โห! นี่มันสุดยอด,surprise
ไม่มีอะไรต้องตื่นเต้น,neutral
ฉันตัวสั่นไปหมด,fear
อะไรนะ?!,surprise
ว้าว! ฉันไม่เคยเห็นอะไรแบบนี้มาก่อน,surprise
ฉันรักสัตว์เลี้ยงของฉัน,happy
วันนี้ทำงานได้ดีมาก,happy
ไม่มีอะไรให้พูดถึง,neutral
นี่มันเรื่องจริงเหรอ?,surprise
เลิกกวนใจฉันสักที,angry
ไม่มีใครเข้าใจฉันเลย,Sadness
ฉันพลาดโอกาสสำคัญ,Sadness
ฉันรู้สึกไม่ปลอดภัย,fear
ฉันไม่ได้คิดอะไรมาก,neutral
ฉันรู้สึกหวาดระแวง,fear
วันนี้เป็นวันที่ดีมาก,happy
นี่มันฝันร้ายชัด ๆ,fear
อะไรกันเนี่ย?!,surprise
วันนี้ฉันได้พักผ่อนเต็มที่,happy
รู้สึกเหมือนถูกทอดทิ้ง,Sadness
นี่มันไม่ยุติธรรมเลย,angry
ฉันไม่พอใจเลย,angry
ฉันสูญเสียสิ่งสำคัญในชีวิต,Sadness
ทำไมต้องเป็นแบบนี้,angry
ทำไมต้องเป็นฉัน,fear
ฉันไม่ได้คิดอะไรมาก,neutral
นี่มันเรื่องจริงเหรอ?,surprise
วันนี้ฉันได้พักผ่อนเต็มที่,happy
โมโหมาก!,angry
ฉันพลาดโอกาสสำคัญ,Sadness
ทุกอย่างยอดเยี่ยมไปหมด,happy
ชีวิตก็เป็นแบบนี้แหละ,neutral
ฉันพลาดโอกาสสำคัญ,Sadness
ฉันอารมณ์เสียสุด ๆ,angry
ไม่มีใครเข้าใจฉันเลย,Sadness
ฉันพลาดโอกาสสำคัญ,Sadness
ฉันตื่นเต้นสุด ๆ,surprise
หยุดทำแบบนี้เดี๋ยวนี้!,angry
วันนี้ทำงานได้ดีมาก,happy
หยุดทำแบบนี้เดี๋ยวนี้!,angry
"ส่งเร็วมากกก เหมือนร้านอยู่ข้างบ้าน ร้านน่ารักคอยอัพเดตตลอด ราคาถูก เลิฟฟฟฟฟ",happy
ก็ไม่อยากเข้าอ่ะ ไม่รู้จะเข้าไปทำไม,frustrated
พี่เจมี่เจมส์ขอชั้นแต่งงาน!!,happy
แล้วคุณจะไปทำงานกับมืออาชีพได้ยังไง ฮ้ะ,angry
พรุ่งนี้เป็นวันหยุดราชการนะ รู้รึยัง หยุดยาวด้วย,neutral
เล่นเกมยังไงให้ได้มีม,happy
ได้รับสินค้าแล้ว คุณภาพสินค้าดี ราคาถูก ได้โค้ดส่งฟรี มีการจัดส่งสินค้าที่รวดเร็วมากก ถ้าหากจะสั่งสินค้าแบบนี้อีกครั้ง จะกลับมาสั่งที่ร้านนี้อีกแน่นอน,happy
"บริการช้า รู้สึกผิดหวังมาก",Sadness
รู้สึกเฉย ๆ ไม่รู้จะซื้อดีไหม,neutral
พนักงานบริการดีมาก กลับมาซื้ออีกแน่นอน!,happy
รู้สึกหงุดหงิดที่การสั่งซื้อยังไม่มาถึง,angry
พอใจกับสินค้ามาก ๆ มันคือสิ่งที่ฉันต้องการ!,happy
การซื้อของวันนี้ไม่ดีเลย จะไม่มาซื้ออีก,angry
การส่งของช้าเกินไป ไม่อยากสั่งซื้อต่อ,angry
ต้องคืนสินค้านี้ มันยุ่งยากมาก!,frustrated
ส่วนลดดีมาก รู้สึกดีใจสุด ๆ!,happy
ไม่อยากเชื่อว่าสินค้าที่นี่ดีขนาดนี้!,surprised
จะไม่ทน กับคนนิสัยไม่ดี,angry
ฉันไม่ได้รู้สึกอับอาย,Sadness
ฉันนั้นสามารถเปลี่ยนความรู้สึกจากสิ้นหวังไปมีหวังโดยแค่อยู่รอบๆคนที่ใส่ใจและเข้าใจ,Sadness
พรุ่งนี้วันหยุดราชการน่ะรู้ยังหยุดยาวด้วย,Neutral
เดียวยังไงผมรบกวนให้ลูกค้าไปติดต่อที่เค้าเตอร์เพื่อที่จะสอบถามเรื่องกล้องวงจอนปิดน่ะครับ,Frustrated
ประมาณหนึ่งวันครับ,Neutral
ครับ,Neutral
ไร้สมอง,Anger
คุณฝึกงานมาสองเดือนแล้วอีกเดือนหนึงก็จะผ่านโปรแล้ว ไม่มีอะไรพัฒนาตัวคุณเลยเหรอ ห่ะ,Anger
ผมสอนคุณอยู่น่ะ,Frustrated
คุณไม่พอใจคุณก็ออกไปดิ อยู่ที่นี้ทำไม,Anger
ฉันรู้สึกงุดงิด,Anger
ฉันรู้สึกดีใจ,Happy
ฉันรู้สึกกังวล,Sadness
มีอะไรจะพูดไหม?,Anger
หืมโตยังเนี่ยเนียอายุเท่าไหรแล้วยังทำโทรศัพห์หายอยู่,Frustrated
ไม่โกรธหรอกไม่โกรธหรอกมันเหนือย,Frustrated
แล้วไงจะเอายังไง,Frustrated
ไม่ต้องขอโทศแล้วจริงๆ,Frustrated
กระเป๋าฉันหาย,Anger
ฉันไม่รอ ไปเอาเทปมาเลย แล้วฉันจะไม่จ่ายค่าห้องอะไรทั้งนั้นด้วย,Anger
นี้มันโรงแรมห้าดาว ทำไม่บริการห่วยแตกแบบนี้,Anger
ไม่รู้แหละ ฉันต้องการเงินคืน,Frustrated
วันวาเลนไทน์แล้วทำไหม,Neutral
หุ้ยเซ็กซี่มาก,Happy
เริ่ดมาก,Happy
สวัสดีค่ะวันนี้เป็นไงบ้างค่ะ,Neutral
ทำงานอยู่ใช้ไหม,Neutral
หมอว่าคุณนั้นกดดั้นตัวเองมากไปทุกอย่างมันต้องใช้เวลา,Neutral
อืมเข้าใจค่ะ,Neutral
ครับสวัสดีครับคุณลูกค้ามีอะไรให้ช่วยครับ,Neutral
ขอโทษน่ะครับคุณลูกค้าบางที่อาจะเป็นเพราะว่าพนักงานทำความสะอาดอาจะเป็นมือใหม่,Neutral
ทางโรงแรมขอโทษคุณลูกค้าน่ะครับเดียวทางโรงแรมจะเปลี่ยนห้องให้ใหม่เลยน่ะครับ,Neutral
มึงพร้อมรึป่าว,Neutral
ทำไมกูล่ะกูเป็นคนเดียวที่ไม่ได้ทำร้ายอะไรมึงเลย,Surprise
นั้นทำอะไรได้,Surprise
พระเจ้าช่วยฉันด้วย,Neutral
เดียวรู้กันน่ะสุดหล่อ,Neutral
มึงน่ะมันไร้ค่า,Anger
ชีวิตของมึงนั้นมีค่าเท่ากับมดตัวหนึ่ง,Anger
